IT_NO ID ISCONSTRUCTOR NO_EMPLOYEES REVENUES TOTAL_ASSETS LIQUIDITY DEBT INVENTORY
9 7 0 70 43.621367 2899.166667 50.621367 2333.333333 132268
9 8 0 45 31.960042 1863.750000 36.460042 1500.000000 84335
9 9 0 58 34.910633 2402.166667 40.710633 1933.333333 109812
9 10 0 35 49.133275 1449.583333 52.633275 1166.666667 61291
9 11 0 58 35.660975 2402.166667 41.460975 1933.333333 109679
9 12 0 65 34.566492 2692.083333 41.066492 2166.666667 123873
9 13 0 68 70.272600 2816.333333 77.072600 2266.666667 123544
9 14 0 54 37.471950 2236.500000 42.871950 1800.000000 101358
9 15 0 46 40.117892 1905.166667 44.717892 1533.333333 84889
9 1 1 20 200.000000 1043.333333 305.000000 666.666667 0
9 3 1 20 200.000000 1043.333333 305.000000 666.666667 0
9 2 1 20 200.000000 1043.333333 305.000000 666.666667 0
10 4 0 56 81.138450 2319.333333 86.738450 1866.666667 97618
10 5 0 49 74.238692 2029.416667 79.138692 1633.333333 84841
10 6 0 57 73.488350 2360.750000 79.188350 1900.000000 100974
10 7 0 70 76.032742 2899.166667 83.032742 2333.333333 126523
10 8 0 45 61.838308 1863.750000 66.338308 1500.000000 79039
10 9 0 58 74.244333 2402.166667 80.044333 1933.333333 102840
10 10 0 35 93.217258 1449.583333 96.717258 1166.666667 53477
10 11 0 58 71.361442 2402.166667 77.161442 1933.333333 103351
10 12 0 65 79.000258 2692.083333 85.500258 2166.666667 115997
10 13 0 68 133.639800 2816.333333 140.439800 2266.666667 112312
10 14 0 54 71.310667 2236.500000 76.710667 1800.000000 95360
10 15 0 46 75.840925 1905.166667 80.440925 1533.333333 78557
10 2 1 20 200.000000 1043.333333 305.000000 666.666667 0
10 3 1 20 200.000000 1043.333333 305.000000 666.666667 0
10 1 1 20 200.000000 1043.333333 305.000000 666.666667 0
11 4 0 56 81.138450 2319.333333 86.738450 1866.666667 97618
11 5 0 49 74.238692 2029.416667 79.138692 1633.333333 84841
11 6 0 57 73.488350 2360.750000 79.188350 1900.000000 100974
11 7 0 70 76.032742 2899.166667 83.032742 2333.333333 126523
11 8 0 45 61.838308 1863.750000 66.338308 1500.000000 79039
11 9 0 58 74.244333 2402.166667 80.044333 1933.333333 102840
11 10 0 35 93.217258 1449.583333 96.717258 1166.666667 53477
11 11 0 58 71.361442 2402.166667 77.161442 1933.333333 103351
11 12 0 65 79.000258 2692.083333 85.500258 2166.666667 115997
11 13 0 68 133.639800 2816.333333 140.439800 2266.666667 112312
11 14 0 54 71.310667 2236.500000 76.710667 1800.000000 95360
11 15 0 46 75.840925 1905.166667 80.440925 1533.333333 78557
11 1 1 20 200.000000 1043.333333 305.000000 666.666667 0
11 3 1 20 200.000000 1043.333333 305.000000 666.666667 0
11 2 1 20 200.000000 1043.333333 305.000000 666.666667 0
12 4 0 56 81.138450 2319.333333 86.738450 1866.666667 97618
12 5 0 49 74.238692 2029.416667 79.138692 1633.333333 84841
12 6 0 57 73.488350 2360.750000 79.188350 1900.000000 100974
12 7 0 70 76.032742 2899.166667 83.032742 2333.333333 126523
12 8 0 45 61.838308 1863.750000 66.338308 1500.000000 79039
12 9 0 58 74.244333 2402.166667 80.044333 1933.333333 102840
12 10 0 35 93.217258 1449.583333 96.717258 1166.666667 53477
12 11 0 58 71.361442 2402.166667 77.161442 1933.333333 103351
12 12 0 65 79.000258 2692.083333 85.500258 2166.666667 115997
12 13 0 68 133.639800 2816.333333 140.439800 2266.666667 112312
12 14 0 54 71.310667 2236.500000 76.710667 1800.000000 95360
12 15 0 46 75.840925 1905.166667 80.440925 1533.333333 78557
12 2 1 20 200.000000 1043.333333 305.000000 666.666667 0
12 3 1 20 200.000000 1043.333333 305.000000 666.666667 0
12 1 1 20 200.000000 1043.333333 305.000000 666.666667 0
13 4 0 56 81.138450 2319.333333 86.738450 1866.666667 97618
13 5 0 49 74.238692 2029.416667 79.138692 1633.333333 84841
13 6 0 57 73.488350 2360.750000 79.188350 1900.000000 100974
13 7 0 70 76.032742 2899.166667 83.032742 2333.333333 126523
13 8 0 45 61.838308 1863.750000 66.338308 1500.000000 79039
13 9 0 58 74.244333 2402.166667 80.044333 1933.333333 102840
13 10 0 35 93.217258 1449.583333 96.717258 1166.666667 53477
13 11 0 58 71.361442 2402.166667 77.161442 1933.333333 103351
13 12 0 65 79.000258 2692.083333 85.500258 2166.666667 115997
13 13 0 68 133.639800 2816.333333 140.439800 2266.666667 112312
13 14 0 54 71.310667 2236.500000 76.710667 1800.000000 95360
13 15 0 46 75.840925 1905.166667 80.440925 1533.333333 78557
13 1 1 20 200.000000 1043.333333 305.000000 666.666667 0
13 3 1 20 200.000000 1043.333333 305.000000 666.666667 0
13 2 1 20 200.000000 1043.333333 305.000000 666.666667 0
14 4 0 56 81.138450 2319.333333 86.738450 1866.666667 97618
14 5 0 49 74.238692 2029.416667 79.138692 1633.333333 84841
14 6 0 57 73.488350 2360.750000 79.188350 1900.000000 100974
14 7 0 70 76.032742 2899.166667 83.032742 2333.333333 126523
14 8 0 45 61.838308 1863.750000 66.338308 1500.000000 79039
14 9 0 58 74.244333 2402.166667 80.044333 1933.333333 102840
14 10 0 35 93.217258 1449.583333 96.717258 1166.666667 53477
14 11 0 58 71.361442 2402.166667 77.161442 1933.333333 103351
14 12 0 65 79.000258 2692.083333 85.500258 2166.666667 115997
14 13 0 68 133.639800 2816.333333 140.439800 2266.666667 112312
14 14 0 54 71.310667 2236.500000 76.710667 1800.000000 95360
14 15 0 46 75.840925 1905.166667 80.440925 1533.333333 78557
14 2 1 20 200.000000 1043.333333 305.000000 666.666667 0
14 3 1 20 200.000000 1043.333333 305.000000 666.666667 0
14 1 1 20 200.000000 1043.333333 305.000000 666.666667 0
15 4 0 56 127.039050 2319.333333 132.639050 1866.666667 89482
15 5 0 49 108.844675 2029.416667 113.744675 1633.333333 78707
15 6 0 57 108.839033 2360.750000 114.539033 1900.000000 94708
15 7 0 70 110.638725 2899.166667 117.638725 2333.333333 120389
15 8 0 45 88.410558 1863.750000 92.910558 1500.000000 74329
15 9 0 58 103.332767 2402.166667 109.132767 1933.333333 97684
15 10 0 35 134.762492 1449.583333 138.262492 1166.666667 46113
15 11 0 58 108.483608 2402.166667 114.283608 1933.333333 96771
15 12 0 65 114.700725 2692.083333 121.200725 2166.666667 109669
15 13 0 68 215.218300 2816.333333 222.018300 2266.666667 97852
15 14 0 54 101.911067 2236.500000 107.311067 1800.000000 89936
15 15 0 46 126.142025 1905.166667 130.742025 1533.333333 69641
15 1 1 20 200.000000 1043.333333 305.000000 666.666667 0
15 3 1 20 200.000000 1043.333333 305.000000 666.666667 0
15 2 1 20 200.000000 1043.333333 305.000000 666.666667 0
16 4 0 56 127.039050 2319.333333 132.639050 1866.666667 89482
16 5 0 49 108.844675 2029.416667 113.744675 1633.333333 78707
16 6 0 57 108.839033 2360.750000 114.539033 1900.000000 94708
16 7 0 70 110.638725 2899.166667 117.638725 2333.333333 120389
16 8 0 45 88.410558 1863.750000 92.910558 1500.000000 74329
16 9 0 58 103.332767 2402.166667 109.132767 1933.333333 97684
16 10 0 35 134.762492 1449.583333 138.262492 1166.666667 46113
16 11 0 58 108.483608 2402.166667 114.283608 1933.333333 96771
16 12 0 65 114.700725 2692.083333 121.200725 2166.666667 109669
16 13 0 68 215.218300 2816.333333 222.018300 2266.666667 97852
16 14 0 54 101.911067 2236.500000 107.311067 1800.000000 89936
16 15 0 46 126.142025 1905.166667 130.742025 1533.333333 69641
16 2 1 20 200.000000 1043.333333 305.000000 666.666667 0
16 3 1 20 200.000000 1043.333333 305.000000 666.666667 0
16 1 1 20 200.000000 1043.333333 305.000000 666.666667 0
17 4 0 56 127.039050 2319.333333 132.639050 1866.666667 89482
17 5 0 49 108.844675 2029.416667 113.744675 1633.333333 78707
17 6 0 57 108.839033 2360.750000 114.539033 1900.000000 94708
17 7 0 70 110.638725 2899.166667 117.638725 2333.333333 120389
17 8 0 45 88.410558 1863.750000 92.910558 1500.000000 74329
17 9 0 58 103.332767 2402.166667 109.132767 1933.333333 97684
17 10 0 35 134.762492 1449.583333 138.262492 1166.666667 46113
17 11 0 58 108.483608 2402.166667 114.283608 1933.333333 96771
17 12 0 65 114.700725 2692.083333 121.200725 2166.666667 109669
17 13 0 68 215.218300 2816.333333 222.018300 2266.666667 97852
17 14 0 54 101.911067 2236.500000 107.311067 1800.000000 89936
17 15 0 46 126.142025 1905.166667 130.742025 1533.333333 69641
17 1 1 20 200.000000 1043.333333 305.000000 666.666667 0
17 3 1 20 200.000000 1043.333333 305.000000 666.666667 0
17 2 1 20 200.000000 1043.333333 305.000000 666.666667 0
18 4 0 56 127.039050 2319.333333 132.639050 1866.666667 89482
18 5 0 49 108.844675 2029.416667 113.744675 1633.333333 78707
18 6 0 57 108.839033 2360.750000 114.539033 1900.000000 94708
18 7 0 70 110.638725 2899.166667 117.638725 2333.333333 120389
18 8 0 45 88.410558 1863.750000 92.910558 1500.000000 74329
18 9 0 58 103.332767 2402.166667 109.132767 1933.333333 97684
18 10 0 35 134.762492 1449.583333 138.262492 1166.666667 46113
18 11 0 58 108.483608 2402.166667 114.283608 1933.333333 96771
18 12 0 65 114.700725 2692.083333 121.200725 2166.666667 109669
18 13 0 68 215.218300 2816.333333 222.018300 2266.666667 97852
18 14 0 54 101.911067 2236.500000 107.311067 1800.000000 89936
18 15 0 46 126.142025 1905.166667 130.742025 1533.333333 69641
18 2 1 20 200.000000 1043.333333 305.000000 666.666667 0
18 3 1 20 200.000000 1043.333333 305.000000 666.666667 0
18 1 1 20 200.000000 1043.333333 305.000000 666.666667 0
19 4 0 56 127.039050 2319.333333 132.639050 1866.666667 89482
19 5 0 49 108.844675 2029.416667 113.744675 1633.333333 78707
19 6 0 57 108.839033 2360.750000 114.539033 1900.000000 94708
19 7 0 70 110.638725 2899.166667 117.638725 2333.333333 120389
19 8 0 45 88.410558 1863.750000 92.910558 1500.000000 74329
19 9 0 58 103.332767 2402.166667 109.132767 1933.333333 97684
19 10 0 35 134.762492 1449.583333 138.262492 1166.666667 46113
19 11 0 58 108.483608 2402.166667 114.283608 1933.333333 96771
19 12 0 65 114.700725 2692.083333 121.200725 2166.666667 109669
19 13 0 68 215.218300 2816.333333 222.018300 2266.666667 97852
19 14 0 54 101.911067 2236.500000 107.311067 1800.000000 89936
19 15 0 46 126.142025 1905.166667 130.742025 1533.333333 69641
19 1 1 20 200.000000 1043.333333 305.000000 666.666667 0
19 3 1 20 200.000000 1043.333333 305.000000 666.666667 0
19 2 1 20 200.000000 1043.333333 305.000000 666.666667 0
20 4 0 56 221.768275 2319.333333 -52.631725 1866.666667 72691
20 5 0 49 204.657100 2029.416667 -35.442900 1633.333333 61724
20 6 0 57 194.191808 2360.750000 -85.108192 1900.000000 79579
20 7 0 70 211.635842 2899.166667 -131.364158 2333.333333 102487
20 8 0 45 167.585708 1863.750000 -52.914292 1500.000000 60295
20 9 0 58 167.941133 2402.166667 -116.258867 1933.333333 86232
20 10 0 35 215.133675 1449.583333 43.633675 1166.666667 31867
20 11 0 58 193.796892 2402.166667 -90.403108 1933.333333 81649
20 12 0 65 209.164792 2692.083333 -109.335208 2166.666667 92925
20 13 0 68 413.759833 2816.333333 80.559833 2266.666667 62660
20 14 0 54 166.022967 2236.500000 -98.577033 1800.000000 78572
20 15 0 46 200.595100 1905.166667 -24.804900 1533.333333 56444
20 2 1 20 200.000000 1043.333333 205.000000 666.666667 0
20 3 1 20 200.000000 1043.333333 205.000000 666.666667 0
20 1 1 20 200.000000 1043.333333 205.000000 666.666667 0
21 13 0 68 413.759833 2816.333333 80.559833 2266.666667 130660
21 10 0 35 215.133675 1449.583333 43.633675 1166.666667 66867
21 4 0 51 221.768275 2319.333333 -52.631725 1866.666667 128691
21 5 0 46 204.657100 2029.416667 -35.442900 1633.333333 110724
21 6 0 51 194.191808 2360.750000 -85.108192 1900.000000 136579
21 7 0 61 211.635842 2899.166667 -131.364158 2333.333333 172487
21 8 0 41 167.585708 1863.750000 -52.914292 1500.000000 105295
21 9 0 50 167.941133 2402.166667 -116.258867 1933.333333 144232
21 11 0 51 193.796892 2402.166667 -90.403108 1933.333333 139649
21 12 0 57 209.164792 2692.083333 -109.335208 2166.666667 157925
21 14 0 47 166.022967 2236.500000 -98.577033 1800.000000 132572
21 15 0 43 200.595100 1905.166667 -24.804900 1533.333333 102444
21 1 1 20 200.000000 1043.333333 205.000000 666.666667 1
21 3 1 20 300.000000 1043.333333 305.000000 666.666667 0
21 2 1 20 300.000000 1043.333333 305.000000 666.666667 0
22 13 0 68 413.759833 2816.333333 80.559833 2266.666667 130660
22 10 0 35 215.133675 1449.583333 43.633675 1166.666667 66867
22 4 0 51 221.768275 2319.333333 -52.631725 1866.666667 128691
22 5 0 46 204.657100 2029.416667 -35.442900 1633.333333 110724
22 6 0 51 194.191808 2360.750000 -85.108192 1900.000000 136579
22 7 0 61 211.635842 2899.166667 -131.364158 2333.333333 172487
22 8 0 41 167.585708 1863.750000 -52.914292 1500.000000 105295
22 9 0 50 167.941133 2402.166667 -116.258867 1933.333333 144232
22 11 0 51 193.796892 2402.166667 -90.403108 1933.333333 139649
22 12 0 57 209.164792 2692.083333 -109.335208 2166.666667 157925
22 14 0 47 166.022967 2236.500000 -98.577033 1800.000000 132572
22 15 0 43 200.595100 1905.166667 -24.804900 1533.333333 102444
22 2 1 20 300.000000 1043.333333 305.000000 666.666667 0
22 3 1 20 300.000000 1043.333333 305.000000 666.666667 0
22 1 1 20 200.000000 1043.333333 205.000000 666.666667 1
23 13 0 68 413.759833 2816.333333 80.559833 2266.666667 130660
23 10 0 35 215.133675 1449.583333 43.633675 1166.666667 66867
23 4 0 51 221.768275 2319.333333 -52.631725 1866.666667 128691
23 5 0 46 204.657100 2029.416667 -35.442900 1633.333333 110724
23 6 0 51 194.191808 2360.750000 -85.108192 1900.000000 136579
23 7 0 61 211.635842 2899.166667 -131.364158 2333.333333 172487
23 8 0 41 167.585708 1863.750000 -52.914292 1500.000000 105295
23 9 0 50 167.941133 2402.166667 -116.258867 1933.333333 144232
23 11 0 51 193.796892 2402.166667 -90.403108 1933.333333 139649
23 12 0 57 209.164792 2692.083333 -109.335208 2166.666667 157925
23 14 0 47 166.022967 2236.500000 -98.577033 1800.000000 132572
23 15 0 43 200.595100 1905.166667 -24.804900 1533.333333 102444
23 1 1 20 200.000000 1043.333333 205.000000 666.666667 1
23 3 1 20 300.000000 1043.333333 305.000000 666.666667 0
23 2 1 20 300.000000 1043.333333 305.000000 666.666667 0
24 13 0 68 413.759833 2816.333333 80.559833 2266.666667 130660
24 10 0 35 215.133675 1449.583333 43.633675 1166.666667 66867
24 4 0 51 221.768275 2319.333333 -52.631725 1866.666667 128691
24 5 0 46 204.657100 2029.416667 -35.442900 1633.333333 110724
24 6 0 51 194.191808 2360.750000 -85.108192 1900.000000 136579
24 7 0 61 211.635842 2899.166667 -131.364158 2333.333333 172487
24 8 0 41 167.585708 1863.750000 -52.914292 1500.000000 105295
24 9 0 50 167.941133 2402.166667 -116.258867 1933.333333 144232
24 11 0 51 193.796892 2402.166667 -90.403108 1933.333333 139649
24 12 0 57 209.164792 2692.083333 -109.335208 2166.666667 157925
24 14 0 47 166.022967 2236.500000 -98.577033 1800.000000 132572
24 15 0 43 200.595100 1905.166667 -24.804900 1533.333333 102444
24 2 1 20 300.000000 1043.333333 305.000000 666.666667 0
24 3 1 20 300.000000 1043.333333 305.000000 666.666667 0
24 1 1 20 200.000000 1043.333333 205.000000 666.666667 1
25 13 0 68 439.216598 2816.333333 106.016598 2266.666667 126165
25 10 0 35 240.789222 1449.583333 69.289222 1166.666667 62337
25 4 0 51 251.742565 2319.333333 -22.657435 1866.666667 123395
25 5 0 46 233.370817 2029.416667 -6.729183 1633.333333 105651
25 6 0 51 222.272044 2360.750000 -57.027956 1900.000000 131617
25 7 0 61 235.690449 2899.166667 -107.309551 2333.333333 168236
25 8 0 41 187.722116 1863.750000 -32.777884 1500.000000 101737
25 9 0 50 209.739897 2402.166667 -74.460103 1933.333333 136845
25 11 0 51 217.032631 2402.166667 -67.167369 1933.333333 135543
25 12 0 57 231.183245 2692.083333 -87.316755 2166.666667 154034
25 14 0 47 183.864654 2236.500000 -80.735346 1800.000000 129419
25 15 0 43 224.623396 1905.166667 -0.776604 1533.333333 98199
25 1 1 20 200.000000 1043.333333 205.000000 666.666667 1
25 3 1 20 300.000000 1043.333333 305.000000 666.666667 0
25 2 1 20 300.000000 1043.333333 305.000000 666.666667 0
26 13 0 68 439.216598 2816.333333 106.016598 2266.666667 126165
26 10 0 35 240.789222 1449.583333 69.289222 1166.666667 62337
26 4 0 51 251.742565 2319.333333 -22.657435 1866.666667 123395
26 5 0 46 233.370817 2029.416667 -6.729183 1633.333333 105651
26 6 0 51 222.272044 2360.750000 -57.027956 1900.000000 131617
26 7 0 61 235.690449 2899.166667 -107.309551 2333.333333 168236
26 8 0 41 187.722116 1863.750000 -32.777884 1500.000000 101737
26 9 0 50 209.739897 2402.166667 -74.460103 1933.333333 136845
26 11 0 51 217.032631 2402.166667 -67.167369 1933.333333 135543
26 12 0 57 231.183245 2692.083333 -87.316755 2166.666667 154034
26 14 0 47 183.864654 2236.500000 -80.735346 1800.000000 129419
26 15 0 43 224.623396 1905.166667 -0.776604 1533.333333 98199
26 2 1 20 300.000000 1043.333333 305.000000 666.666667 0
26 3 1 20 300.000000 1043.333333 305.000000 666.666667 0
26 1 1 20 200.000000 1043.333333 205.000000 666.666667 1
27 13 0 68 439.216598 2816.333333 106.016598 2266.666667 126165
27 10 0 35 240.789222 1449.583333 69.289222 1166.666667 62337
27 4 0 51 251.742565 2319.333333 -22.657435 1866.666667 123395
27 5 0 46 233.370817 2029.416667 -6.729183 1633.333333 105651
27 6 0 51 222.272044 2360.750000 -57.027956 1900.000000 131617
27 7 0 61 235.690449 2899.166667 -107.309551 2333.333333 168236
27 8 0 41 187.722116 1863.750000 -32.777884 1500.000000 101737
27 9 0 50 209.739897 2402.166667 -74.460103 1933.333333 136845
27 11 0 51 217.032631 2402.166667 -67.167369 1933.333333 135543
27 12 0 57 231.183245 2692.083333 -87.316755 2166.666667 154034
27 14 0 47 183.864654 2236.500000 -80.735346 1800.000000 129419
27 15 0 43 224.623396 1905.166667 -0.776604 1533.333333 98199
27 1 1 20 200.000000 1043.333333 205.000000 666.666667 1
27 3 1 20 300.000000 1043.333333 305.000000 666.666667 0
27 2 1 20 300.000000 1043.333333 305.000000 666.666667 0
28 13 0 68 439.216598 2816.333333 106.016598 2266.666667 126165
28 10 0 35 240.789222 1449.583333 69.289222 1166.666667 62337
28 4 0 51 251.742565 2319.333333 -22.657435 1866.666667 123395
28 5 0 46 233.370817 2029.416667 -6.729183 1633.333333 105651
28 6 0 51 222.272044 2360.750000 -57.027956 1900.000000 131617
28 7 0 61 235.690449 2899.166667 -107.309551 2333.333333 168236
28 8 0 41 187.722116 1863.750000 -32.777884 1500.000000 101737
28 9 0 50 209.739897 2402.166667 -74.460103 1933.333333 136845
28 11 0 51 217.032631 2402.166667 -67.167369 1933.333333 135543
28 12 0 57 231.183245 2692.083333 -87.316755 2166.666667 154034
28 14 0 47 183.864654 2236.500000 -80.735346 1800.000000 129419
28 15 0 43 224.623396 1905.166667 -0.776604 1533.333333 98199
28 2 1 20 300.000000 1043.333333 305.000000 666.666667 0
28 3 1 20 300.000000 1043.333333 305.000000 666.666667 0
28 1 1 20 200.000000 1043.333333 205.000000 666.666667 1
29 13 0 68 439.216598 2816.333333 106.016598 2266.666667 126165
29 10 0 35 240.789222 1449.583333 69.289222 1166.666667 62337
